epochs:3	 Clusters:20
value_1:5.1	value_2:1.4	 value_3:0.2	 value_4:1.4	 cluster:14
value_1:4.9	value_2:3	 value_3:1.4	 value_4:0.2	 cluster:14
value_1:4.7	value_2:3.2	 value_3:1.3	 value_4:0.2	 cluster:14
value_1:4.6	value_2:3.1	 value_3:1.5	 value_4:0.2	 cluster:0
value_1:5	value_2:3.6	 value_3:1.4	 value_4:0.2	 cluster:13
value_1:5.4	value_2:3.9	 value_3:1.7	 value_4:0.4	 cluster:13
value_1:4.6	value_2:3.4	 value_3:1.4	 value_4:0.3	 cluster:14
value_1:5	value_2:3.4	 value_3:1.5	 value_4:0.2	 cluster:13
value_1:4.4	value_2:2.9	 value_3:1.4	 value_4:0.2	 cluster:0
value_1:4.9	value_2:3.1	 value_3:1.5	 value_4:0.1	 cluster:6
value_1:5.4	value_2:3.7	 value_3:1.5	 value_4:0.2	 cluster:13
value_1:4.8	value_2:3.4	 value_3:1.6	 value_4:0.2	 cluster:13
value_1:4.8	value_2:3	 value_3:1.4	 value_4:0.1	 cluster:14
value_1:4.3	value_2:3	 value_3:1.1	 value_4:0.1	 cluster:0
value_1:5.8	value_2:4	 value_3:1.2	 value_4:0.2	 cluster:13
value_1:5.7	value_2:4.4	 value_3:1.5	 value_4:0.4	 cluster:13
value_1:5.4	value_2:3.9	 value_3:1.3	 value_4:0.4	 cluster:13
value_1:5.1	value_2:3.5	 value_3:1.4	 value_4:0.3	 cluster:13
value_1:5.7	value_2:3.8	 value_3:1.7	 value_4:0.3	 cluster:13
value_1:5.1	value_2:3.8	 value_3:1.5	 value_4:0.3	 cluster:13
value_1:5.4	value_2:3.4	 value_3:1.7	 value_4:0.2	 cluster:13
value_1:5.1	value_2:3.7	 value_3:1.5	 value_4:0.4	 cluster:13
value_1:4.6	value_2:3.6	 value_3:1	 value_4:0.2	 cluster:14
value_1:5.1	value_2:3.3	 value_3:1.7	 value_4:0.5	 cluster:13
value_1:4.8	value_2:3.4	 value_3:1.9	 value_4:0.2	 cluster:6
value_1:5	value_2:3	 value_3:1.6	 value_4:0.2	 cluster:6
value_1:5	value_2:3.4	 value_3:1.6	 value_4:0.4	 cluster:13
value_1:5.2	value_2:3.5	 value_3:1.5	 value_4:0.2	 cluster:13
value_1:5.2	value_2:3.4	 value_3:1.4	 value_4:0.2	 cluster:13
value_1:4.7	value_2:3.2	 value_3:1.6	 value_4:0.2	 cluster:6
value_1:4.8	value_2:3.1	 value_3:1.6	 value_4:0.2	 cluster:6
value_1:5.4	value_2:3.4	 value_3:1.5	 value_4:0.4	 cluster:13
value_1:5.2	value_2:4.1	 value_3:1.5	 value_4:0.1	 cluster:13
value_1:5.5	value_2:4.2	 value_3:1.4	 value_4:0.2	 cluster:13
value_1:4.9	value_2:3.1	 value_3:1.5	 value_4:0.1	 cluster:6
value_1:5	value_2:3.2	 value_3:1.2	 value_4:0.2	 cluster:13
value_1:5.5	value_2:3.5	 value_3:1.3	 value_4:0.2	 cluster:13
value_1:4.9	value_2:3.1	 value_3:1.5	 value_4:0.1	 cluster:6
value_1:4.4	value_2:3	 value_3:1.3	 value_4:0.2	 cluster:0
value_1:5.1	value_2:3.4	 value_3:1.5	 value_4:0.2	 cluster:13
value_1:5	value_2:3.5	 value_3:1.3	 value_4:0.3	 cluster:13
value_1:4.5	value_2:2.3	 value_3:1.3	 value_4:0.3	 cluster:14
value_1:4.4	value_2:3.2	 value_3:1.3	 value_4:0.2	 cluster:0
value_1:5	value_2:3.5	 value_3:1.6	 value_4:0.6	 cluster:13
value_1:5.1	value_2:3.8	 value_3:1.9	 value_4:0.4	 cluster:13
value_1:4.8	value_2:3	 value_3:1.4	 value_4:0.3	 cluster:14
value_1:5.1	value_2:3.8	 value_3:1.6	 value_4:0.2	 cluster:13
value_1:4.6	value_2:3.2	 value_3:1.4	 value_4:0.2	 cluster:14
value_1:5.3	value_2:3.7	 value_3:1.5	 value_4:0.2	 cluster:13
value_1:5	value_2:3.3	 value_3:1.4	 value_4:0.2	 cluster:13
value_1:7	value_2:3.2	 value_3:4.7	 value_4:1.4	 cluster:14
value_1:6.4	value_2:3.2	 value_3:4.5	 value_4:1.5	 cluster:14
value_1:6.9	value_2:3.1	 value_3:4.9	 value_4:1.5	 cluster:14
value_1:5.5	value_2:2.3	 value_3:4	 value_4:1.3	 cluster:14
value_1:6.5	value_2:2.8	 value_3:4.6	 value_4:1.5	 cluster:14
value_1:5.7	value_2:2.8	 value_3:4.5	 value_4:1.3	 cluster:14
value_1:6.3	value_2:3.3	 value_3:4.7	 value_4:1.6	 cluster:14
value_1:4.9	value_2:2.4	 value_3:3.3	 value_4:1	 cluster:14
value_1:6.6	value_2:2.9	 value_3:4.6	 value_4:1.3	 cluster:14
value_1:5.2	value_2:2.7	 value_3:3.9	 value_4:1.4	 cluster:14
value_1:5	value_2:2	 value_3:3.5	 value_4:1	 cluster:14
