epochs:100	 Clusters:20
value_1:19	value_2:15	 value_3:39	 cluster:9
value_1:21	value_2:15	 value_3:81	 cluster:11
value_1:20	value_2:16	 value_3:6	 cluster:13
value_1:23	value_2:16	 value_3:77	 cluster:11
value_1:31	value_2:17	 value_3:40	 cluster:9
value_1:22	value_2:17	 value_3:76	 cluster:11
value_1:35	value_2:18	 value_3:6	 cluster:13
value_1:23	value_2:18	 value_3:94	 cluster:11
value_1:64	value_2:19	 value_3:3	 cluster:13
value_1:30	value_2:19	 value_3:72	 cluster:11
value_1:67	value_2:19	 value_3:14	 cluster:13
value_1:35	value_2:19	 value_3:99	 cluster:11
value_1:58	value_2:20	 value_3:15	 cluster:13
value_1:24	value_2:20	 value_3:77	 cluster:11
value_1:37	value_2:20	 value_3:13	 cluster:13
value_1:22	value_2:20	 value_3:79	 cluster:11
value_1:35	value_2:21	 value_3:35	 cluster:9
value_1:20	value_2:21	 value_3:66	 cluster:11
value_1:52	value_2:23	 value_3:29	 cluster:13
value_1:35	value_2:23	 value_3:98	 cluster:11
value_1:35	value_2:24	 value_3:35	 cluster:9
value_1:25	value_2:24	 value_3:73	 cluster:11
value_1:46	value_2:25	 value_3:5	 cluster:13
value_1:31	value_2:25	 value_3:73	 cluster:11
value_1:54	value_2:28	 value_3:14	 cluster:13
value_1:29	value_2:28	 value_3:82	 cluster:11
value_1:45	value_2:28	 value_3:32	 cluster:9
value_1:35	value_2:28	 value_3:61	 cluster:19
value_1:40	value_2:29	 value_3:31	 cluster:9
value_1:23	value_2:29	 value_3:87	 cluster:11
value_1:60	value_2:30	 value_3:4	 cluster:13
value_1:21	value_2:30	 value_3:73	 cluster:11
value_1:53	value_2:33	 value_3:4	 cluster:13
value_1:18	value_2:33	 value_3:92	 cluster:11
value_1:49	value_2:33	 value_3:14	 cluster:13
value_1:21	value_2:33	 value_3:81	 cluster:11
value_1:42	value_2:34	 value_3:17	 cluster:13
value_1:30	value_2:34	 value_3:73	 cluster:11
value_1:36	value_2:37	 value_3:26	 cluster:9
value_1:20	value_2:37	 value_3:75	 cluster:11
value_1:65	value_2:38	 value_3:35	 cluster:14
value_1:24	value_2:38	 value_3:92	 cluster:11
value_1:48	value_2:39	 value_3:36	 cluster:1
value_1:31	value_2:39	 value_3:61	 cluster:19
value_1:49	value_2:39	 value_3:28	 cluster:1
value_1:24	value_2:39	 value_3:65	 cluster:19
value_1:50	value_2:40	 value_3:55	 cluster:14
value_1:27	value_2:40	 value_3:47	 cluster:19
value_1:29	value_2:40	 value_3:42	 cluster:19
value_1:31	value_2:40	 value_3:42	 cluster:19
value_1:49	value_2:42	 value_3:52	 cluster:14
value_1:33	value_2:42	 value_3:60	 cluster:19
value_1:31	value_2:43	 value_3:54	 cluster:19
value_1:59	value_2:43	 value_3:60	 cluster:14
value_1:50	value_2:43	 value_3:45	 cluster:1
value_1:47	value_2:43	 value_3:41	 cluster:1
value_1:51	value_2:44	 value_3:50	 cluster:14
value_1:69	value_2:44	 value_3:46	 cluster:14
value_1:27	value_2:46	 value_3:51	 cluster:19
value_1:53	value_2:46	 value_3:46	 cluster:14
value_1:70	value_2:46	 value_3:56	 cluster:14
value_1:19	value_2:46	 value_3:55	 cluster:3
value_1:67	value_2:47	 value_3:52	 cluster:14
value_1:54	value_2:47	 value_3:59	 cluster:14
value_1:63	value_2:48	 value_3:51	 cluster:14
value_1:18	value_2:48	 value_3:59	 cluster:3
value_1:43	value_2:48	 value_3:50	 cluster:19
value_1:68	value_2:48	 value_3:48	 cluster:14
value_1:19	value_2:48	 value_3:59	 cluster:3
value_1:32	value_2:48	 value_3:47	 cluster:19
value_1:70	value_2:49	 value_3:55	 cluster:14
value_1:47	value_2:49	 value_3:42	 cluster:1
value_1:60	value_2:50	 value_3:49	 cluster:14
value_1:60	value_2:50	 value_3:56	 cluster:14
value_1:59	value_2:54	 value_3:47	 cluster:14
value_1:26	value_2:54	 value_3:54	 cluster:19
value_1:45	value_2:54	 value_3:53	 cluster:19
value_1:40	value_2:54	 value_3:48	 cluster:19
value_1:23	value_2:54	 value_3:52	 cluster:19
value_1:49	value_2:54	 value_3:42	 cluster:6
value_1:57	value_2:54	 value_3:51	 cluster:14
value_1:38	value_2:54	 value_3:55	 cluster:19
value_1:67	value_2:54	 value_3:41	 cluster:14
value_1:46	value_2:54	 value_3:44	 cluster:6
value_1:21	value_2:54	 value_3:57	 cluster:3
value_1:48	value_2:54	 value_3:46	 cluster:6
value_1:55	value_2:57	 value_3:58	 cluster:14
value_1:22	value_2:57	 value_3:55	 cluster:19
value_1:34	value_2:58	 value_3:60	 cluster:19
value_1:50	value_2:58	 value_3:46	 cluster:6
value_1:68	value_2:59	 value_3:55	 cluster:5
value_1:18	value_2:59	 value_3:41	 cluster:7
value_1:48	value_2:60	 value_3:49	 cluster:6
value_1:40	value_2:60	 value_3:40	 cluster:19
value_1:32	value_2:60	 value_3:42	 cluster:19
